15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ELAST CANELADO ZW 272/1 10MM;44;272/1;;;;;;;;;272/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 295/1 10MM;44;295/1;;;;;;;;;295/1;CANELADO ZW;10MM;OK;OK;OK;0
ATAC M10046 196 6MM;46;196;;;;;;;;;196;M10046;6MM;OK;OK;OK;0
ATAC M21020 TAN 8MM;64;TAN;;;;;;;;;TAN;M21020;8MM;OK;OK;OK;0
ELAST CANELADO ZW 322/1 10MM;44;322/1;;;;;;;;;322/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA MDP 146/1P 13MM;90;146/1P;;;;;;;;;146/1P;MDP;13MM;OK;OK;OK;0
FITA M32107 612 15MM;100;612;;;;;;;;;612;M32107;15MM;OK;OK;OK;0
ATAC 11628 253 7MM;40;253;;;;;;;;;253;11628;7MM;OK;OK;OK;0
ATAC 14163 248 6MM;46;248;;;;;;;;;248;14163;6MM;OK;OK;OK;0
ATAC 14163 200 6MM;46;200;;;;;;;;;200;14163;6MM;OK;OK;OK;0
ATAC 14163 170 6MM;46;170;;;;;;;;;170;14163;6MM;OK;OK;OK;0
ELAST CANELADO ZW 219/1 10MM;44;219/1;;;;;;;;;219/1;CANELADO ZW;10MM;OK;OK;OK;0
ELASTICO 16410 004 7MM;20;4;;;;;;;;;4;16410;7MM;OK;OK;OK;0
ELASTICO 16410 102/LUREX PRATA 7MM;16;102;8;LUREX PRATA;;;;;;;102/LUREX PRATA;16410;7MM;OK;OK;OK;0
ELAST M2159 182/147 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;182 . 147 . 182 . 147 . 182 . 147 . 182 . 147 . 182 . 147;;;;;;;;;182/147;M2159;7MM;OK;OK;OK;0
CORDAO M9030 146/100 1,5MM;13;1;146;3;1;100;M9030;1,5MM;1x1;;;;2600;1200;;;0
CORDAO M9030 295/100 1,5MM;13;1;295;3;1;100;M9030;1,5MM;1x1;;;;2600;1200;;;0
CORDAO M9030 323/100 1,5MM;13;1;323;3;1;100;M9030;1,5MM;1x1;;;;2600;1200;;;0
ATAC M9022 102 3MM;16;2;102;;;;M9022;;;;;M9022;1200;490;3MM;;0
ATAC 3000 115 3MM;16;2;115;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M12119 481/1 6MM;56;481/1;;;;;;;;;481/1;M12119;6MM;OK;OK;OK;0
ATAC 14163 285 6MM;46;285;;;;;;;;;285;14163;6MM;OK;OK;OK;0
ATAC 14163 290 6MM;46;290;;;;;;;;;290;14163;6MM;OK;OK;OK;0
ELAST CANELADO ZW 470/1 10MM;44;470/1;;;;;;;;;470/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 100/1 10MM;44;100/1;;;;;;;;;100/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 481/1 10MM;44;481/1;;;;;;;;;481/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 010/1 10MM;44;010/1;;;;;;;;;010/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 286/1 10MM;44;286/1;;;;;;;;;286/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 365/1 10MM;44;365/1;;;;;;;;;365/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA M32107 100 12MM;80;100;;;;;;;;;100;M32107;12MM;OK;OK;OK;0
ATAC 6AL 048 6MM ;46;48;;;;;;;;;48;6AL;6MM;OK;OK;OK;0
ATAC 6AL 643 6MM;46;643;;;;;;;;;643;6AL;6MM;OK;OK;OK;0
ATAC 6AL 058 6MM;46;58;;;;;;;;;58;6AL;6MM;OK;OK;OK;0
ELAST MTM ENGOMADO 100 40MM;148;100;;;;;;;;;100;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 058 40MM;148;58;;;;;;;;;58;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 048 40MM;148;48;;;;;;;;;48;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 643 40MM;148;643;;;;;;;;;643;MTM;40MM;OK;OK;OK;0
FITA MDP 225/1P 13MM;90;225/1P;;;;;;;;;225/1P;MDP;13MM;OK;OK;OK;0
ATAC 3000 005 3MM;16;2;5;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M8081 2148 PEACOAT 7MM;40;2148;;;;;;;;;2148;M8081;7MM;OK;OK;OK;0
ATAC M8081 2149 BRICK RED 7MM;40;BRICK RED;;;;;;;;;BRICK RED;M8081;7MM;OK;OK;OK;0
ATAC M8081 2147 GRIGIO NOVO 7MM;40;2147;;;;;;;;;2147;M8081;7MM;OK;OK;OK;0
ATAC M8081 2150 NEW KHAKI 7MM;40;2150;;;;;;;;;2150;M8081;7MM;OK;OK;OK;0
ATAC M8081 2138 RYE 7MM;40;2138;;;;;;;;;2138;M8081;7MM;OK;OK;OK;0
FITA MDP 2T 807/1P RYE 15MM;108;807/1P;;;;;;;;;807/1P;MDP;15MM;OK;OK;OK;0
FITA M32107 100 15MM;100;100;;;;;;;;;100;M32107;15MM;OK;OK;OK;0
FITA M32107 100 10MM;68;100;;;;;;;;;100;M32107;10MM;OK;OK;OK;0
ATAC 14163 030/187 6MM;1 . 52 . 3;030 , 187 , 030;;;;;;;;;030/187;14163;6MM;OK;OK;OK;0
ATAC 14163 175/100 6MM;1 . 52 . 3;175 , 100 175;;;;;;;;;175/100;14163;6MM;OK;OK;OK;0
ATAC 11628 155 7MM;40;155;;;;;;;;;155;11628;7MM;OK;OK;OK;0
ELASTICO 16410 100/LUREX PRATA 7MM;16;100;8;LUREX PRATA;;;;;;;100/LUREX PRATA;16410;7MM;OK;OK;OK;0
ATAC M1308 167 9MM;56;167;;;;;;;;;167;M1308;9MM;OK;OK;OK;0
ATAC M1308 169 9MM;56;169;;;;;;;;;169;M1308;9MM;OK;OK;OK;0
ATAC M12119 100/1 6MM;56;100/1;;;;;;;;;100/1;M12119;6MM;OK;OK;OK;0
ATAC M9022 314 3MM;16;2;314;;;;M9022;;;;;M9022;1200;490;3MM;;0
ATAC 6AL 278 6MM;46;278;;;;;;;;;278;6AL;6MM;OK;OK;OK;0
ATAC M10046 614 6MM;46;614;;;;;;;;;614;M10046;6MM;OK;OK;OK;0
ATAC 6ALF 348/739 6MM;1 . 52 . 3;348 . 739 . 348;;;;;;;;;348/739;6ALF;6MM;OK;OK;OK;0
ATAC M10107 100/1P 5MM;108;100/1;30;100/1;;;;;;;100/1;M10107;5MM;OK;OK;OK;0
ATAC M10107 1182/1P 5MM;108;1182/1;30;1182/1;;;;;;;1182/1;M10107;5MM;OK;OK;OK;0
ATAC 6ALF 218/104 6MM;1 . 52 . 3;218 . 104 . 218;;;;;;;;;218/104;6ALF;6MM;OK;OK;OK;0
ATAC M10107 PURPLE/1P 5MM;108;PURPLE/1;30;PURPLE/1;;;;;;;PURPLE/1;M10107;5MM;OK;OK;OK;0
ATAC M12015 604 8MM;72;604;;;;;;;;;604;M12015;8MM;OK;OK;OK;0
ATAC 6ALF 348/104 6MM;1 . 52 . 3;348 . 104 . 348;;;;;;;;;348/104;6ALF;6MM;OK;OK;OK;0
ATAC M10107 761/1P BRANCO 02 5MM;108;761/1;30;761/1;;;;;;;761/1;M10107;5MM;OK;OK;OK;0
ATAC 6ALF 098/100 6MM;1 . 52 . 3;098 . 100 . 098;;;;;;;;;098/100;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 353/061 6MM;1 . 52 . 3;353 . 061 . 353;;;;;;;;;353/061;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 427/100 6MM;1 . 52 . 3;427 , 100 , 427;;;;;;;;;427/100;6ALF;6MM;OK;OK;OK;0
FITA M4180 100/1P 9MM;56;100/1P;26;100/1P;;;;;;;100/1P;M4180;9MM;OK;OK;OK;0
ATAC 3000 100 3MM;16;2;100;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M9022 024 3MM;16;2;24;;;;M9022;;;;;M9022;1200;490;3MM;;0
ATAC 3000 052 3MM;16;2;52;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M1308 120 9MM;56;120;;;;;;;;;120;M1308;9MM;OK;OK;OK;0
ATAC 11628 247 7MM;40;247;;;;;;;;;247;11628;7MM;OK;OK;OK;0
ATAC 6ALF 207/664 6MM;1 . 52 . 3;207 . 664 . 207;;;;;;;;;207/664;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 028/312 6MM;1 . 52 . 3;028 . 312 . 028;;;;;;;;;028/312;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 061/301 6MM;1 . 52 . 3;061 . 301 . 061;;;;;;;;;061/301;6ALF;6MM;OK;OK;OK;0
ATAC M12015 252 8MM;72;252;;;;;;;;;252;M12015;8MM;OK;OK;OK;0
ATAC M13054 100;32;2;100;;;;M13054;;;;;;1200;660;Sim;;0
ATAC 11628 030 7MM;40;30;;;;;;;;;30;11628;7MM;OK;OK;OK;0
ATAC 11628 044 7MM;40;44;;;;;;;;;44;11628;7MM;OK;OK;OK;0
ATAC 11628 265 7MM;40;265;;;;;;;;;265;11628;7MM;OK;OK;OK;0
ATAC 11628 118 7MM;40;118;;;;;;;;;118;11628;7MM;OK;OK;OK;0
ATAC M13054 012;32;2;12;;;;M13054;;;;;;1200;350;Sim;;0
ELASTICO 16410 055/LUREX PRATA 7MM;16;55;8;LUREX PRATA;;;;;;;055/LUREX PRATA;16410;7MM;OK;OK;OK;0
ELASTICO 16410 247 7MM;20;247;;;;;;;;;247;16410;7MM;OK;OK;OK;0
ATAC 11628 105 7MM;40;105;;;;;;;;;105;11628;7MM;OK;OK;OK;0
ATAC 11628 114 7MM;40;114;;;;;;;;;114;11628;7MM;OK;OK;OK;0
ATAC 11628 321 7MM;40;321;;;;;;;;;321;11628;7MM;OK;OK;OK;0
ATAC M9022 100 3MM;16;2;100;;;;M9022;;;;;M9022;1200;490;3MM;;0
ATAC M1308 260 8MM;58;260;;;;;;;;;260;M1308;8mm;OK;OK;OK;0
ATAC M1308 321 8MM;58;321;;;;;;;;;321;M1308;8mm;OK;OK;OK;0
